@attribute Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {no_label}


@data
% filename D.wav
% srate 86.1328
0.032129,0.030962,0.039689,0.201122,-44.607292,6.531840,-1.670785,0.583700,-1.315186,-0.236797,-1.431976,-2.881942,-3.027624,-0.930536,1.069441,2.912041,2.258299,0.000798,0.002103,0.004147,0.006337,0.010887,0.017690,0.015342,0.007219,0.002804,0.000981,0.000237,0.000236,3.087983,88.056182,0.004119,0.001691,0.011318,0.139284,1.853534,0.738278,0.518306,0.616013,0.413775,0.584866,0.718641,0.371383,0.437305,0.711970,0.426830,0.340454,0.437689,0.000139,0.000279,0.000527,0.000597,0.000781,0.001073,0.000959,0.000649,0.000379,0.000109,0.000046,0.000075,0.045872,24.113236,no_label
0.031738,0.030874,0.039689,0.194871,-44.920253,6.619668,-1.757746,0.489729,-1.348016,-0.278544,-1.555652,-2.834111,-3.106894,-1.010711,1.132396,2.907579,2.272934,0.000775,0.002050,0.004047,0.006216,0.010768,0.017475,0.015163,0.007153,0.002786,0.000967,0.000229,0.000225,3.094006,91.655656,0.003997,0.001634,0.011318,0.134421,2.034361,0.849478,0.648962,0.654926,0.434500,0.567128,0.788476,0.435047,0.533571,0.711625,0.456325,0.345279,0.430962,0.000158,0.000329,0.000622,0.000749,0.000976,0.001418,0.001265,0.000758,0.000403,0.000129,0.000051,0.000079,0.054721,25.824353,no_label
0.031348,0.030738,0.039494,0.181683,-45.199091,6.701109,-1.828135,0.422486,-1.385580,-0.320003,-1.649332,-2.811576,-3.143611,-1.082735,1.153230,2.903705,2.283719,0.000750,0.001993,0.003935,0.006076,0.010610,0.017195,0.014933,0.007072,0.002765,0.000953,0.000222,0.000214,3.097514,95.211087,0.003831,0.001574,0.011161,0.129749,2.099926,0.927976,0.714277,0.646165,0.458059,0.545574,0.790476,0.447735,0.540818,0.695173,0.444472,0.349303,0.424638,0.000174,0.000375,0.000714,0.000902,0.001217,0.001835,0.001614,0.000879,0.000431,0.000148,0.000056,0.000082,0.057472,26.883642,no_label
0.030957,0.030617,0.039300,0.166268,-45.492055,6.787568,-1.906224,0.386731,-1.435675,-0.360121,-1.726790,-2.793137,-3.203243,-1.139953,1.180129,2.906885,2.278400,0.000725,0.001935,0.003825,0.005932,0.010427,0.016861,0.014651,0.006959,0.002728,0.000933,0.000213,0.000202,3.100229,99.326984,0.003616,0.001497,0.010999,0.125050,2.147032,1.001713,0.780644,0.620700,0.496008,0.519707,0.767514,0.455374,0.571586,0.663731,0.430987,0.346654,0.429801,0.000188,0.000408,0.000775,0.001020,0.001460,0.002265,0.001998,0.001049,0.000487,0.000175,0.000061,0.000084,0.059008,28.318304,no_label
0.030469,0.030514,0.039300,0.162472,-45.781477,6.895785,-1.939201,0.333498,-1.441415,-0.447795,-1.771962,-2.783650,-3.257136,-1.208112,1.209188,2.895738,2.267092,0.000703,0.001887,0.003730,0.005803,0.010246,0.016516,0.014352,0.006832,0.002684,0.000911,0.000205,0.000193,3.100012,100.937032,0.003405,0.001406,0.010999,0.119948,2.149029,1.098884,0.786058,0.592545,0.494732,0.531093,0.730416,0.457112,0.587655,0.629296,0.415482,0.360191,0.441896,0.000192,0.000417,0.000795,0.001083,0.001643,0.002607,0.002324,0.001215,0.000549,0.000201,0.000064,0.000082,0.058999,27.257960,no_label
0.029980,0.030392,0.039105,0.146167,-46.089741,6.969976,-1.966829,0.288718,-1.413265,-0.521790,-1.802997,-2.783727,-3.306794,-1.264910,1.239386,2.888217,2.279468,0.000672,0.001814,0.003589,0.005607,0.009957,0.016012,0.013922,0.006651,0.002622,0.000884,0.000195,0.000181,3.100732,103.926395,0.003105,0.001298,0.010830,0.113007,2.135270,1.132901,0.787631,0.557149,0.519045,0.509854,0.695836,0.457115,0.594269,0.582156,0.397347,0.368113,0.435410,0.000206,0.000461,0.000881,0.001255,0.002021,0.003225,0.002865,0.001465,0.000636,0.000232,0.000068,0.000083,0.059139,26.500901,no_label
0.029590,0.030310,0.039105,0.140212,-46.490600,7.075968,-2.043166,0.254816,-1.428397,-0.580476,-1.826644,-2.776956,-3.328017,-1.275181,1.300475,2.876933,2.304187,0.000634,0.001718,0.003402,0.005342,0.009559,0.015343,0.013352,0.006402,0.002533,0.000848,0.000183,0.000167,3.107898,107.884675,0.002640,0.001186,0.010830,0.103993,2.222797,1.200100,0.832846,0.519195,0.519090,0.465469,0.664697,0.457831,0.585596,0.564208,0.400289,0.380529,0.428255,0.000230,0.000538,0.001037,0.001534,0.002570,0.004076,0.003604,0.001818,0.000768,0.000276,0.000074,0.000083,0.067300,26.412345,no_label
0.029199,0.030236,0.039105,0.125399,-46.850264,7.151729,-2.100156,0.223869,-1.451943,-0.652390,-1.838685,-2.773741,-3.335747,-1.263103,1.354775,2.850656,2.300523,0.000595,0.001618,0.003206,0.005064,0.009138,0.014640,0.012754,0.006147,0.002448,0.000814,0.000172,0.000152,3.111735,112.457285,0.001999,0.001064,0.010830,0.090918,2.170992,1.221770,0.847751,0.477950,0.522090,0.416231,0.645774,0.457886,0.580419,0.589831,0.385589,0.416338,0.431828,0.000249,0.000600,0.001162,0.001760,0.003018,0.004760,0.004197,0.002095,0.000863,0.000304,0.000077,0.000082,0.069169,26.634045,no_label
0.028711,0.030097,0.038911,0.108081,-47.220468,7.237193,-2.118024,0.209051,-1.457094,-0.728821,-1.832708,-2.763157,-3.379464,-1.271484,1.404101,2.830723,2.299120,0.000557,0.001526,0.003027,0.004808,0.008744,0.013967,0.012180,0.005899,0.002359,0.000778,0.000161,0.000138,3.112175,115.871261,0.000895,0.000875,0.010656,0.074818,2.070450,1.246889,0.843337,0.450873,0.520787,0.350249,0.656905,0.459608,0.576159,0.575190,0.358002,0.437646,0.433107,0.000258,0.000627,0.001214,0.001880,0.003306,0.005208,0.004598,0.002300,0.000948,0.000330,0.000079,0.000078,0.069150,24.734103,no_label
0.028711,0.029920,0.037743,0.107791,-47.560718,7.421044,-2.187710,0.227489,-1.408777,-0.773346,-1.857665,-2.755358,-3.387301,-1.232267,1.402538,2.759668,2.267810,0.000532,0.001465,0.002908,0.004610,0.008349,0.013295,0.011603,0.005627,0.002245,0.000735,0.000151,0.000131,3.105123,117.153849,0.000895,0.000839,0.010592,0.075034,2.017546,1.184856,0.837081,0.456780,0.497174,0.395554,0.636055,0.464415,0.569833,0.645694,0.357957,0.487122,0.442942,0.000271,0.000667,0.001295,0.002007,0.003531,0.005542,0.004883,0.002430,0.000993,0.000340,0.000079,0.000080,0.068395,24.271221,no_label
0.028711,0.029816,0.037549,0.112950,-47.960325,7.580506,-2.233558,0.240767,-1.404844,-0.826590,-1.891804,-2.749984,-3.446674,-1.183266,1.419701,2.694058,2.227000,0.000492,0.001377,0.002742,0.004353,0.007899,0.012588,0.010990,0.005328,0.002121,0.000690,0.000137,0.000116,3.102957,120.512694,0.000895,0.000999,0.010816,0.078146,2.062428,1.212642,0.797787,0.467955,0.498549,0.415270,0.625859,0.466944,0.565087,0.697354,0.337707,0.491232,0.453300,0.000260,0.000656,0.001279,0.002000,0.003569,0.005639,0.004958,0.002449,0.000993,0.000333,0.000070,0.000067,0.072416,20.245692,no_label
0.028613,0.029659,0.036381,0.126297,-48.218319,7.741386,-2.174128,0.235000,-1.406396,-0.844097,-1.885665,-2.684883,-3.390973,-1.137065,1.422511,2.609207,2.160168,0.000455,0.001305,0.002609,0.004134,0.007479,0.011893,0.010385,0.005035,0.002000,0.000648,0.000128,0.000106,3.095959,121.859371,0.000932,0.001157,0.011024,0.092252,2.089285,1.105880,0.847883,0.457183,0.496165,0.426853,0.622505,0.490831,0.530912,0.699004,0.338061,0.518572,0.357744,0.000245,0.000651,0.001278,0.002001,0.003577,0.005649,0.004954,0.002432,0.000980,0.000327,0.000068,0.000060,0.080750,18.289498,no_label
0.028516,0.029605,0.036381,0.124936,-48.439527,7.795444,-2.176793,0.320802,-1.429706,-0.886682,-1.865131,-2.646619,-3.404879,-1.104813,1.468165,2.571962,2.152027,0.000421,0.001225,0.002456,0.003894,0.007049,0.011225,0.009808,0.004764,0.001899,0.000617,0.000122,0.000097,3.093064,122.122552,0.000957,0.001188,0.011024,0.093409,2.059769,1.096828,0.847947,0.588762,0.488446,0.457110,0.633797,0.481521,0.520439,0.698003,0.305432,0.493135,0.349910,0.000228,0.000630,0.001244,0.001953,0.003509,0.005573,0.004886,0.002398,0.000972,0.000326,0.000068,0.000055,0.082954,18.044338,no_label
0.028613,0.029593,0.036381,0.130959,-48.643364,7.868786,-2.283111,0.379150,-1.470633,-0.943574,-1.892894,-2.557557,-3.385637,-1.074769,1.427573,2.519362,2.150791,0.000397,0.001148,0.002298,0.003652,0.006633,0.010583,0.009254,0.004501,0.001797,0.000583,0.000115,0.000091,3.092616,121.703693,0.000932,0.001191,0.011024,0.092656,1.962688,1.053570,0.821827,0.650845,0.519325,0.434574,0.626508,0.479099,0.540477,0.702770,0.350367,0.536074,0.350692,0.000228,0.000628,0.001238,0.001955,0.003547,0.005656,0.004961,0.002435,0.000991,0.000332,0.000068,0.000054,0.083204,18.571148,no_label
0.028613,0.029565,0.036381,0.132513,-48.794089,8.009306,-2.342917,0.484173,-1.445484,-1.009510,-1.882040,-2.435441,-3.342988,-1.005810,1.362401,2.471152,2.121112,0.000383,0.001101,0.002200,0.003483,0.006289,0.010018,0.008757,0.004253,0.001689,0.000545,0.000106,0.000087,3.084646,119.936063,0.000932,0.001198,0.011024,0.091962,1.964893,0.867766,0.785959,0.704588,0.509806,0.433403,0.627291,0.361609,0.582631,0.658460,0.366931,0.474731,0.311667,0.000232,0.000644,0.001274,0.002009,0.003628,0.005777,0.005059,0.002468,0.000991,0.000327,0.000066,0.000054,0.088156,21.214250,no_label
0.028613,0.029642,0.036381,0.135479,-49.054325,8.071720,-2.497286,0.554078,-1.457889,-1.015200,-1.864299,-2.415359,-3.346594,-0.973344,1.317949,2.483060,2.158622,0.000355,0.001011,0.002018,0.003207,0.005830,0.009308,0.008132,0.003947,0.001573,0.000506,0.000097,0.000080,3.086235,118.725310,0.000932,0.001169,0.011024,0.090835,1.842603,0.771760,0.720893,0.769691,0.517300,0.433880,0.627429,0.360057,0.577885,0.661088,0.391469,0.491693,0.321215,0.000222,0.000618,0.001225,0.001951,0.003573,0.005712,0.004990,0.002420,0.000973,0.000318,0.000061,0.000049,0.086884,23.430577,no_label
0.028613,0.029656,0.036381,0.138463,-49.336534,8.108582,-2.580748,0.628177,-1.440128,-1.054322,-1.875449,-2.405002,-3.328967,-0.971167,1.345071,2.465132,2.149665,0.000325,0.000922,0.001839,0.002925,0.005323,0.008500,0.007419,0.003590,0.001423,0.000455,0.000087,0.000072,3.086600,117.669079,0.000932,0.001166,0.011024,0.090815,1.578412,0.710245,0.648591,0.740726,0.530981,0.417762,0.626587,0.360027,0.605293,0.661013,0.379826,0.474232,0.318916,0.000207,0.000585,0.001163,0.001853,0.003397,0.005427,0.004719,0.002254,0.000884,0.000280,0.000050,0.000042,0.086718,24.830924,no_label
